Date	Close
20150520	45283.47
20150519	45311.75
20150518	45408.34
20150515	45332.8
20150514	45271.46
20150513	45038.14
20150512	44950.49
20150511	45179.97
20150508	45125.95
20150507	44768.8
20150506	44853.26
20150505	45091.33
20150504	45238.47
20150430	44582.39
20150429	44942.23
20150428	45338.36
20150427	45512.38
20150424	45773.31
20150423	45418.83
20150422	45232.04
20150421	45296.91
20150420	45077.81
20150417	45012.37
20150416	45480.23
20150415	45262.94
20150414	45004.52
20150413	44994.56
20150410	44882.01
20150409	44913.27
20150408	44980.56
20150407	44987.87
20150406	44850.06
20150401	44202.94
20150331	43724.78
20150330	43922.83
20150327	43637.97
20150326	43229.16
20150325	43630.96
20150324	44051.21
20150323	43952.71
20150320	43968.15
20150319	44118.17
20150318	44360.87
20150317	43761.36
20150313	44002.29
20150312	44055.89
20150311	43227.2
20150310	42972.15
20150309	43251.4
20150306	43280.81
20150305	43517.79
20150304	43296.55
20150303	43600.37
20150302	43882.71
20150227	44190.17
20150226	44416.49
20150225	43802.07
20150224	43921.55
20150223	43675.87
20150220	43551.26
20150219	43231.42
20150218	43053.65
20150217	43251.79
20150216	42959.56
20150213	43072.42
20150212	43045.51
20150211	41933.26
20150210	42635.19
20150209	42810.29
20150206	42715.43
20150205	42453.64
20150204	41710.82
20150203	41572.24
20150130	40950.58
20150129	41862.33
20150128	42158.07
20150127	42627.82
20150126	42737.85
20150123	42649.72
20150122	43121.28
20150121	42488.73
20150120	41752.67
20150119	41285.58
20150116	41402.01
20150115	40998.77
20150114	40984.22
20150113	41478.26
20150112	41780.78
20150109	42382.41
20150108	42402.31
20150107	41813.93
20150106	41329.41
20150105	41099.37
20150102	42115.47
20141231	43145.66
20141230	43018.75
20141229	43187.64
20141226	43002.17
20141224	43002.87
20141223	43122.73
20141222	42873.01
20141219	42529.89
20141218	42475.67
20141217	41004.44
20141216	40225.08
20141215	40334.59
20141211	41714.57
20141210	41372.66
20141209	42339.63
20141208	42941.83
20141205	43230.34
20141204	42816.15
20141203	43112.29
20141202	43008.07
20141201	43392.07
20141128	44190.47
20141127	44689.21
20141126	44672.2
20141125	44441.02
20141124	44621.07
20141121	44633.28
20141120	44209.42
20141119	44118.13
20141118	43491.45
20141114	43372.01
20141113	43743.8
20141112	43744.57
20141111	44300.83
20141110	44523
20141107	44614.66
20141106	44849.86
20141105	45071.98
20141104	44884.43
20141103	45184.76
20141031	45027.52
20141030	44599.27
20141029	44238.94
20141028	44039.64
20141027	43810.51
20141024	43665.54
20141023	43691.06
20141022	43450.75
20141021	43630.58
20141020	43213.9
20141017	43273.5
20141016	42907.62
20141015	42984.95
20141014	43179.85
20141013	43088.67
20141010	43435.73
20141009	44082.17
20141008	44487.97
20141007	44536.62
20141006	44820.85
20141003	44678.14
20141002	44254.43
20141001	44364.96
20140930	44985.66
20140929	44898.19
20140926	44884.33
20140925	44781.12
20140924	45116.94
20140923	45015.17
20140922	45302
20140919	45761.9
20140918	46168.64
20140917	46043.62
20140915	45861.84
20140912	45799.7
20140911	45672.6
20140910	45894.05
20140909	45915.17
20140908	46357.24
20140905	46231.44
20140904	46313.4
20140903	46049.33
20140902	45825.06
20140901	45438.04
20140829	45628.09
20140828	45501.28
20140827	45601
20140826	45464.75
20140825	45504.34
20140822	45374.99
20140821	45410.36
20140820	45248.05
20140819	44962.88
20140818	44854.81
20140815	44629.33
20140814	44793.02
20140813	44723.96
20140812	44734.04
20140811	44679.16
20140808	44105.95
20140807	44116.15
20140806	44425.77
20140805	44481.68
20140804	44594.66
20140801	43986.11
20140731	43817.69
20140730	44311.06
20140729	44481.29
20140728	44544.97
20140725	44386.62
20140724	44420.38
20140723	44199.01
20140722	44257.09
20140721	44125.73
20140718	44278.9
20140717	43920.76
20140716	44009.23
20140715	43960.43
20140714	43967.44
20140711	43481.83
20140710	43474.29
20140709	43686.75
20140708	43403.43
20140707	43452.55
20140704	43518.06
20140703	43660.7
20140702	43279.48
20140701	42872.84
20140630	42737.17
20140627	42493.86
20140626	42613.8
20140625	42854.19
20140624	42884.76
20140623	42916.73
20140620	42865.72
20140619	42957.36
20140618	42802.6
20140617	42612.64
20140616	42596.25
20140613	42485.66
20140612	42617.62
20140611	42944.81
20140610	43045.27
20140609	43009.99
20140606	42778.26
20140605	42173.03
20140604	41953.3
20140603	42126.09
20140602	41936.71
20140530	41362.51
20140529	42009.92
20140528	41960.45
20140527	41958.97
20140526	42004.58
20140523	41917.92
20140522	41943.96
20140521	41828.98
20140520	41805.1
20140519	41840.05
20140516	41898.84
20140515	41561.83
20140514	42144.51
20140513	42236.83
20140512	42086.17
20140509	41641.11
20140508	41659.91
20140507	41803.13
20140506	41470.82
20140505	41047.88
20140502	40967.95
20140430	40711.56
20140429	40702.67
20140428	40136.57
20140425	40198.4
20140424	40407.93
20140423	40296.98
20140422	40468.2
20140421	40654.07
20140416	40890.53
20140415	40481.8
20140414	40530.69
20140411	40380.79
20140410	40447.96
20140409	40937.77
20140408	40906.83
20140407	40595.7
20140404	40598.34
20140403	40563.06
20140402	40900.53
20140401	40470.01
20140331	40461.6
20140328	40048.2
20140327	39911.01
20140326	39761.3
20140325	39793.02
20140324	39821.71
20140321	40021.73
20140320	39616.19
